Pohlavie,Location,Grade,Free Time Activity,Favorite School Subject,Favorite Game,Favorite Movie,Dream Travel Destination,Skilled Activity/Game,Proud Achievement,Top World Priority,Importance of Helping Others,Contribution to a Better World,Preferred Career Field
dievča,mesto,5.ročník,hrám videohry,"Vedecké predmety (biológia, chémia, fyzika)",hra so stavebnicou,Fantasy a Sci-fi film,do veľkého mesta,"Hudobné nástroje: Klavír, gitara, husle, spev alebo iný hudobný nástroj",vytvoril som umelecké dielo,vzdelanie,rád robím dobré skutky,mier a bezpečnosť,"pedagogické povolania (napr. učiteľ, vychovávateľ)"
chlapec,dedina,5.ročník,hrám sa vonku s priateľmi,Matematika,vytváranie príbehov alebo scenárov,Komédia,do džungle/tropického lesa,"Športové aktivity: Futbal, basketbal, plávanie, gymnastika, tenis alebo iný šport",vytvoril som umelecké dielo,rodina;zdravie;vzdelanie,pomáhať druhým je pre mňa spoločenská zodpovednosť,zlepšenie vzdelávania,"pedagogické povolania (napr. učiteľ, vychovávateľ)"
dievča,dedina,5.ročník,hrám sa vonku s priateľmi,Telesná výchova,športové hry,Komédia,do vesmíru,"Športové aktivity: Futbal, basketbal, plávanie, gymnastika, tenis alebo iný šport","učebné úspechy: dosiahol som vysoké hodnotenie z testu, zvládol som náročné učivo, zvládol som skúšku",rodina;láska;príroda a životné prostredie,rád robím dobré skutky,ochranu životného prostredia,"športový odborník (napr. inštruktor, tréner)"
dievča,dedina,5.ročník,hrám sa vonku s priateľmi,Telesná výchova,športové hry,Komédia,na exotickú pláž/ostrov,"Športové aktivity: Futbal, basketbal, plávanie, gymnastika, tenis alebo iný šport","športové výkony: vyhral som zápas, dosiahol som osobný rekord",rodina;priatelia;láska,rád robím dobré skutky,spravodlivosť,"športový odborník (napr. inštruktor, tréner)"
chlapec,dedina,5.ročník,hrám sa vonku s priateľmi,Matematika,športové hry,Akčný film,na hory,"Športové aktivity: Futbal, basketbal, plávanie, gymnastika, tenis alebo iný šport",dokazal som urobit prestup,rodina;zdravie;priatelia;láska;mier a spravodlivosť,rád robím dobré skutky,hrat dobre futbal,"športový odborník (napr. inštruktor, tréner)"
chlapec,dedina,5.ročník,hrám sa vonku s priateľmi,Telesná výchova,športové hry,Animovaný film,Los Angeles,"Športové aktivity: Futbal, basketbal, plávanie, gymnastika, tenis alebo iný šport","naučil som sa niečo nové (jazyk, šport)",rodina;zdravie;priatelia,rád robím dobré skutky,spravodlivosť,"športový odborník (napr. inštruktor, tréner)"
dievča,dedina,5.ročník,venujem sa športu,Telesná výchova,brawel stars,Komédia,chorvácko,"Športové aktivity: Futbal, basketbal, plávanie, gymnastika, tenis alebo iný šport","športové výkony: vyhral som zápas, dosiahol som osobný rekord",rodina;zdravie;priatelia;láska;šťastie a radosť;dobrosrdečnosť a pomoc druhým,radosť na oboch stranách,ochranu životného prostredia,"obchod a služby so zákazníkom (maklér, predavač);športový odborník (napr. inštruktor, tréner)"
chlapec,dedina,5.ročník,kreslím alebo maľujem,"Technické predmety (informatika, technická výchova)",vedecké hry,Komédia,do veľkého mesta,"Športové aktivity: Futbal, basketbal, plávanie, gymnastika, tenis alebo iný šport",dobrovoľnícka činnosť,rodina;priatelia;dobrosrdečnosť a pomoc druhým,"súcitím s ľuďmi, ktorí majú ťažkosti (empatia)",boj proti chudobe,"informačné technológie (napr. programátor, IT analytik, web dizajnér)"
chlapec,dedina,5.ročník,venujem sa športu,"Technické predmety (informatika, technická výchova)",role-playing hra,Komédia,Kazastan,Jazykové zručnosti,"športové výkony: vyhral som zápas, dosiahol som osobný rekord",rodina;zdravie;sloboda,radosť na oboch stranách,spravodlivosť,"architektúra, stavebníctvo, geodézia (napr. architekt, stavebný dozor, geodet)"
dievča,dedina,5.ročník,venujem sa športu,Hudba,športové hry,Animovaný film,na exotickú pláž/ostrov,"Športové aktivity: Futbal, basketbal, plávanie, gymnastika, tenis alebo iný šport","športové výkony: vyhral som zápas, dosiahol som osobný rekord",rodina;zdravie;láska;vzdelanie;šťastie a radosť;dobrosrdečnosť a pomoc druhým,"mám rád, keď som vzorom pre druhých",zlepšenie vzdelávania,veterinár
